id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count,toxic
254433,0.6875,What a crock of deluded *&^&.  I would highly recommend this person get to the hospital STAT and have their head removed from their buttocks. This is about a religious war of Islam against Islam. Not even their hatred against Israel and America can unite them.,0.0375,0.25,0.3625,0.5125,0.0875,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-21 02:11:49.146496+00,13,,51618,approved,0,0,0,0,0,0.3625,6,80,1
662700,0.7916666666666666,"These damned plebs, they just don't do what they're told anymore. Merkel is right we need to censor social media and give them a controlled view of the world. Start off with picking migrants up off the Libyan coast and bringing them to Italy. Its really wonderful and we all like it. Anyone who doesn't and says so here's a jail cell for you.",0.1527777777777778,0.6527777777777778,0.2083333333333333,0.6666666666666666,0.0138888888888888,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-05 12:28:35.020673+00,54,,154584,approved,0,0,0,1,0,0.0138888888888888,0,72,1
240878,0.5454545454545454,"This is what a serious mental illness looks like, these paramilitaries/militias/”sovereign citizens”, a sociopathic paranoic delusional criminal hysteria, contagious to a degree, armed and very dangerous.",0.0909090909090909,0.0,0.2727272727272727,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,2016-01-25 17:14:18.191430+00,6,,33626,approved,0,0,0,3,0,0.0,10,11,1
5803438,0.6,"Black Fox News Host Receives Death Threats After Daring to Criticize Trump on Fox


I’d like to think that Williams will be a little more concerned about some of the dogs she lies down with on Fox now that she has gotten some of the fleas.",0.0,0.1,0.0,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-19 23:23:41.475958+00,21,,368469,approved,0,0,0,1,0,0.4,0,10,1
740126,0.5,"Our good old socialistic mother will put those bottled water folks out of business and lose all those jobs, why so we can import them from the states.....another reason why this nutter must be voted out.",0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-21 23:01:01.223259+00,54,,157815,approved,0,0,0,0,1,0.0,0,10,1
4981712,0.7288135593220338,comMon sense? we have untold thousands of unemployed skilled trades people across canada and you think allowing more into canada to compete for any jobs that come up is good policy? man canada is doomed with such stupidity,0.0,0.0847457627118644,0.2203389830508474,0.7118644067796609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-03-09 17:20:05.796965+00,54,4981598.0,318046,approved,0,0,0,2,2,0.0,6,59,1
6004539,0.5,Propaganda from the anti prostitutionist. Not a surprise.  If you really care you would all be supporting the passing of HB112 which makes it a felony for cops to have Sex with Sex trafficked vicitms while rescuing them. But you don't really care.,0.0,0.0,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-23 03:44:16.385836+00,21,,380615,approved,0,0,0,1,0,0.5,0,10,1
5677306,0.8333333333333333,Cory Gardner is a profile in cowardice,0.0,0.0,0.0,0.8333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-28 18:35:11.899820+00,102,,360428,approved,0,0,0,5,2,0.0,0,6,1
740752,0.7605633802816901,gawd is she a piece of work or what? I have never seen anybody so obviously mentally disturbed as this woman. everybody I know who have ever seen her comments breaks out laughing or they are stunned at the stupidity. sheesh,0.0,0.1267605633802817,0.0704225352112676,0.7464788732394366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-22 01:40:48.539003+00,21,740399.0,157842,approved,0,0,0,1,0,0.0,4,71,1
6301834,0.6,"The bishops can oppose injustices in society like abortion.  But they say nothing about women being exposed to rape and sexual violence at home, in schools and in places of work.  Women have the right to accuse the bishops of being complicit in the sexual abuse of women.  Nor do the bishops urge male parents of babies/children to pay support for the care of their children.  

If the bishops are going to oppose abortion, they should be just as adamant about men paying a fair share to support the children that women often have to raise on their own.",0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2017-11-06 18:07:44.410316+00,53,6288149.0,396721,approved,0,0,0,2,0,0.4,10,10,1
